Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Amsterdam Theoretical,Monitor 2024 (Current),Red Meat,1130433.927176834
Amsterdam Theoretical,Monitor 2024 (Current),Poultry,72490.31826638816
Amsterdam Theoretical,Monitor 2024 (Current),Dairy (Milk & Milkproducts),432764.1479343
Amsterdam Theoretical,Monitor 2024 (Current),Cheese & Eggs,185943.21611068785
Amsterdam Theoretical,Monitor 2024 (Current),Fish,36672.36867336539
Amsterdam Theoretical,Monitor 2024 (Current),Plant Protein,59525.234715869985
Amsterdam Theoretical,Monitor 2024 (Current),Staples,451205.4835137845
Amsterdam Theoretical,Monitor 2024 (Current),Rice,43795.74484113234
Amsterdam Theoretical,Monitor 2024 (Current),Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Monitor 2024 (Current),Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Monitor 2024 (Current),Soups,47844.562271625
Amsterdam Theoretical,Monitor 2024 (Current),Beverages & Additions,24754.519881839995
Amsterdam Theoretical,Monitor 2024 (Current),Fats (Butter),53600.37924870218
Amsterdam Theoretical,Monitor 2024 (Current),Oils (Plant-based),98988.74952749998
Amsterdam Theoretical,Monitor 2024 (Current),Condiments,22892.064890730002
Metropolitan (High Risk),Monitor 2024 (Current),Red Meat,2134561.9791548597
Metropolitan (High Risk),Monitor 2024 (Current),Poultry,155336.39628511746
Metropolitan (High Risk),Monitor 2024 (Current),Dairy (Milk & Milkproducts),332895.498411
Metropolitan (High Risk),Monitor 2024 (Current),Cheese & Eggs,229192.84521575324
Metropolitan (High Risk),Monitor 2024 (Current),Fish,55008.55301004807
Metropolitan (High Risk),Monitor 2024 (Current),Plant Protein,26360.337374175
Metropolitan (High Risk),Monitor 2024 (Current),Staples,436635.98561225866
Metropolitan (High Risk),Monitor 2024 (Current),Rice,35036.59587290588
Metropolitan (High Risk),Monitor 2024 (Current),Veg & Fruit,207363.0990102
Metropolitan (High Risk),Monitor 2024 (Current),Ultra-Processed,962327.9089803242
Metropolitan (High Risk),Monitor 2024 (Current),Soups,28706.737362975
Metropolitan (High Risk),Monitor 2024 (Current),Beverages & Additions,32556.2998446
Metropolitan (High Risk),Monitor 2024 (Current),Fats (Butter),93464.67222660291
Metropolitan (High Risk),Monitor 2024 (Current),Oils (Plant-based),131984.99937
Metropolitan (High Risk),Monitor 2024 (Current),Condiments,29395.992359685002
Metabolic Balance,Monitor 2024 (Current),Red Meat,1720219.2568042297
Metabolic Balance,Monitor 2024 (Current),Poultry,207115.1950468233
Metabolic Balance,Monitor 2024 (Current),Dairy (Milk & Milkproducts),83223.87460275
Metabolic Balance,Monitor 2024 (Current),Cheese & Eggs,280971.64397745905
Metabolic Balance,Monitor 2024 (Current),Fish,146689.47469346155
Metabolic Balance,Monitor 2024 (Current),Plant Protein,54993.749737499995
Metabolic Balance,Monitor 2024 (Current),Staples,107411.68365890505
Metabolic Balance,Monitor 2024 (Current),Rice,17518.29793645294
