Diet,Category,Mass_share_pct,Protein_share_pct
Monitor 2024,Red Meat,3.877551020408163,12.212104981253347
Monitor 2024,Poultry,1.7006802721088436,6.695232994108194
Monitor 2024,Dairy (Milk & Milkproducts),14.965986394557824,0.0
Monitor 2024,Cheese & Eggs,4.285714285714286,0.0
Monitor 2024,Fish,1.4965986394557822,4.713444027852169
Monitor 2024,Plant Protein,3.4013605442176873,10.71237279057311
Monitor 2024,Staples,30.952380952380953,48.74129619710765
Monitor 2024,Rice,2.0408163265306123,2.5709694697375465
Monitor 2024,Veg & Fruit,20.74829931972789,6.534547402249598
Monitor 2024,Ultra-Processed,8.16326530612245,6.427423674343867
Monitor 2024,Soups,1.3605442176870748,0.0
Monitor 2024,Beverages & Additions,2.7210884353741496,0.42849491162292447
Monitor 2024,Fats (Butter),1.3605442176870748,0.0
Monitor 2024,Oils (Plant-based),1.7006802721088436,0.0
Monitor 2024,Condiments,1.2244897959183674,0.96411355115158
Amsterdam Theoretical,Red Meat,4.66977985323549,15.553827352516391
Amsterdam Theoretical,Poultry,1.8679119412941962,7.776913676258196
Amsterdam Theoretical,Dairy (Milk & Milkproducts),17.34489659773182,0.0
Amsterdam Theoretical,Cheese & Eggs,4.336224149432955,0.0
Amsterdam Theoretical,Fish,0.66711140760507,2.22197533607377
Amsterdam Theoretical,Plant Protein,2.201467645096731,7.332518609043443
Amsterdam Theoretical,Staples,29.68645763842562,49.43895122764139
Amsterdam Theoretical,Rice,1.6677785190126753,2.22197533607377
Amsterdam Theoretical,Veg & Fruit,18.67911941294196,6.221530941006557
Amsterdam Theoretical,Ultra-Processed,9.006004002668446,7.499166759248975
Amsterdam Theoretical,Soups,1.6677785190126753,0.0
Amsterdam Theoretical,Beverages & Additions,3.068712474983322,0.5110543272969672
Amsterdam Theoretical,Fats (Butter),1.6677785190126753,0.0
Amsterdam Theoretical,Oils (Plant-based),2.0013342228152102,0.0
Amsterdam Theoretical,Condiments,1.467645096731154,1.2220864348405736
Metropolitan,Red Meat,8.453350031308704,24.379232505643344
Metropolitan,Poultry,3.757044458359424,13.544018058690746
Metropolitan,Dairy (Milk & Milkproducts),12.523481527864746,0.0
Metropolitan,Cheese & Eggs,5.009392611145898,0.0
Metropolitan,Fish,0.939261114589856,2.708803611738149
Metropolitan,Plant Protein,0.939261114589856,2.708803611738149
Metropolitan,Staples,26.29931120851597,37.92325056433409
Metropolitan,Rice,1.2523481527864746,1.4446952595936797
Metropolitan,Veg & Fruit,13.149655604257985,3.792325056433409
Metropolitan,Ultra-Processed,16.28052598622417,11.738148984198647
Metropolitan,Soups,0.939261114589856,0.0
Metropolitan,Beverages & Additions,3.757044458359424,0.5417607223476298
Metropolitan,Fats (Butter),2.504696305572949,0.0
Metropolitan,Oils (Plant-based),2.504696305572949,0.0
Metropolitan,Condiments,1.6906700062617408,1.2189616252821673
Metabolic Balance,Red Meat,12.054001928640307,31.665611146295124
Metabolic Balance,Poultry,7.714561234329798,25.332488917036102
Metabolic Balance,Dairy (Milk & Milkproducts),4.821600771456123,0.0
Metabolic Balance,Cheese & Eggs,9.643201542912246,0.0
Metabolic Balance,Fish,3.857280617164899,10.132995566814438
Metabolic Balance,Plant Protein,2.892960462873674,7.59974667511083
Metabolic Balance,Staples,10.607521697203472,13.932868904369855
Metabolic Balance,Rice,0.9643201542912248,1.013299556681444
Metabolic Balance,Veg & Fruit,28.929604628736737,7.59974667511083
Metabolic Balance,Ultra-Processed,1.9286403085824495,1.2666244458518048
Metabolic Balance,Soups,2.892960462873674,0.0
Metabolic Balance,Beverages & Additions,3.857280617164899,0.506649778340722
Metabolic Balance,Fats (Butter),5.014464802314368,0.0
Metabolic Balance,Oils (Plant-based),3.3751205400192865,0.0
Metabolic Balance,Condiments,1.446480231436837,0.9499683343888538
Dutch Goal,Red Meat,2.2304832713754648,6.457399103139013
Dutch Goal,Poultry,1.1152416356877324,4.0358744394618835
Dutch Goal,Dairy (Milk & Milkproducts),11.152416356877323,0.0
Dutch Goal,Cheese & Eggs,2.478314745972739,0.0
Dutch Goal,Fish,0.7434944237918215,2.152466367713005
Dutch Goal,Plant Protein,8.364312267657994,24.215246636771305
Dutch Goal,Staples,33.147459727385375,47.98206278026906
Dutch Goal,Rice,2.478314745972739,2.869955156950673
